ALERT_ID,ALERT_TYPE,IS_FRAUD,TX_ID,SENDER_ACCOUNT_ID,RECEIVER_ACCOUNT_ID,TX_TYPE,TX_AMOUNT,TIMESTAMP
323,cycle,True,50741,4464,9850,TRANSFER,17.04,8
130,fan_in,True,51984,8711,9708,TRANSFER,4.02,8
260,cycle,True,52373,3495,7933,TRANSFER,11.85,8
41,fan_in,True,53029,9996,5979,TRANSFER,4.94,8
174,fan_in,True,53654,7384,9163,TRANSFER,2.94,8
176,fan_in,True,53859,2286,2921,TRANSFER,4.09,8
39,fan_in,True,53956,6006,9843,TRANSFER,2.76,8
61,fan_in,True,54785,8532,7466,TRANSFER,4.02,9
166,fan_in,True,55471,9847,8319,TRANSFER,3.74,9
356,cycle,True,56132,9991,2897,TRANSFER,18.53,9
115,fan_in,True,57472,4670,3748,TRANSFER,3.02,9
32,fan_in,True,57811,6609,8015,TRANSFER,3.14,9
323,cycle,True,57950,9971,9765,TRANSFER,17.04,9
100,fan_in,True,59356,8713,1616,TRANSFER,3.18,9
377,cycle,True,59364,7352,5776,TRANSFER,10.27,9
377,cycle,True,59600,8542,1089,TRANSFER,10.27,9
242,cycle,True,60228,1983,9850,TRANSFER,12.56,9
202,cycle,True,60603,6799,1840,TRANSFER,12.93,9
8,fan_in,True,60928,8565,992,TRANSFER,4.03,10
323,cycle,True,62896,9850,3066,TRANSFER,17.04,10
88,fan_in,True,62919,1488,9826,TRANSFER,4.31,10
356,cycle,True,63016,9492,9991,TRANSFER,18.53,10
363,cycle,True,63547,9932,3853,TRANSFER,18.98,10
179,fan_in,True,64046,8742,6292,TRANSFER,4.39,10
356,cycle,True,64287,725,9492,TRANSFER,18.53,10
174,fan_in,True,64576,8873,9163,TRANSFER,3.62,10
41,fan_in,True,64895,236,5979,TRANSFER,4.84,10
170,fan_in,True,65296,9846,6326,TRANSFER,3.45,10
14,fan_in,True,65501,9988,1988,TRANSFER,4.78,10
39,fan_in,True,65977,4814,9843,TRANSFER,4.28,10
68,fan_in,True,66064,6748,6928,TRANSFER,4.25,10
363,cycle,True,66227,3853,182,TRANSFER,18.98,10
374,cycle,True,67208,4311,7029,TRANSFER,10.6,10
138,fan_in,True,67457,6337,4758,TRANSFER,3.09,10
115,fan_in,True,68501,1975,3748,TRANSFER,3.02,11
166,fan_in,True,68681,850,8319,TRANSFER,4.02,11
242,cycle,True,70334,9850,9147,TRANSFER,12.56,11
145,fan_in,True,71264,9992,6269,TRANSFER,3.19,11
100,fan_in,True,72498,7847,1616,TRANSFER,2.99,11
374,cycle,True,73641,344,9999,TRANSFER,10.6,11
61,fan_in,True,74196,4213,7466,TRANSFER,3.97,11
32,fan_in,True,74319,4842,8015,TRANSFER,4.46,11
330,cycle,True,74685,8350,9935,TRANSFER,19.34,12
138,fan_in,True,76215,9899,4758,TRANSFER,3.09,12
41,fan_in,True,76302,3227,5979,TRANSFER,3.51,12
179,fan_in,True,76380,5249,6292,TRANSFER,3.4,12
174,fan_in,True,76560,9208,9163,TRANSFER,3.0,12
68,fan_in,True,77686,5452,6928,TRANSFER,3.02,12
242,cycle,True,78286,3717,1983,TRANSFER,12.56,12
39,fan_in,True,78374,9699,9843,TRANSFER,3.99,12
88,fan_in,True,79159,8915,9826,TRANSFER,3.19,12
267,cycle,True,79587,4237,9639,TRANSFER,16.8,12
14,fan_in,True,80332,9550,1988,TRANSFER,4.7,12
317,cycle,True,81082,7270,7239,TRANSFER,15.86,12
302,cycle,True,82488,2347,3011,TRANSFER,11.75,13
166,fan_in,True,82604,8685,8319,TRANSFER,3.76,13
145,fan_in,True,82644,9826,6269,TRANSFER,3.11,13
100,fan_in,True,83196,9350,1616,TRANSFER,2.75,13
61,fan_in,True,83490,4026,7466,TRANSFER,3.94,13
317,cycle,True,83590,7239,1043,TRANSFER,15.86,13
302,cycle,True,84093,9329,3608,TRANSFER,11.75,13
374,cycle,True,84759,7029,9669,TRANSFER,10.6,13
363,cycle,True,85146,6289,7866,TRANSFER,18.98,13
260,cycle,True,85203,7095,3495,TRANSFER,11.85,13
387,cycle,True,86413,9665,3143,TRANSFER,19.62,13
32,fan_in,True,86881,2607,8015,TRANSFER,2.99,13
260,cycle,True,87224,9999,7095,TRANSFER,11.85,13
356,cycle,True,87915,4604,725,TRANSFER,18.53,13
14,fan_in,True,88603,8745,1988,TRANSFER,4.6,14
174,fan_in,True,89470,9063,9163,TRANSFER,3.08,14
242,cycle,True,89480,9147,5236,TRANSFER,12.56,14
88,fan_in,True,89954,2882,9826,TRANSFER,4.36,14
351,cycle,True,90112,9619,8752,TRANSFER,14.52,14
260,cycle,True,91293,9510,9999,TRANSFER,11.85,14
79,fan_in,True,91471,7805,9685,TRANSFER,2.86,14
242,cycle,True,93344,5236,3717,TRANSFER,12.56,14
302,cycle,True,93382,3608,2347,TRANSFER,11.75,14
138,fan_in,True,93745,8716,4758,TRANSFER,3.09,14
68,fan_in,True,93969,9045,6928,TRANSFER,3.33,14
363,cycle,True,94852,7866,9932,TRANSFER,18.98,15
166,fan_in,True,95473,4167,8319,TRANSFER,3.64,15
100,fan_in,True,95483,3671,1616,TRANSFER,3.46,15
145,fan_in,True,95508,7932,6269,TRANSFER,3.17,15
302,cycle,True,98772,5582,9329,TRANSFER,11.75,15
351,cycle,True,99344,8752,4897,TRANSFER,14.52,15
322,cycle,True,100054,4586,3356,TRANSFER,19.29,15
322,cycle,True,101135,7791,9736,TRANSFER,19.29,16
138,fan_in,True,103248,2759,4758,TRANSFER,3.09,16
79,fan_in,True,103272,8309,9685,TRANSFER,3.26,16
88,fan_in,True,104267,6389,9826,TRANSFER,4.12,16
68,fan_in,True,104650,1351,6928,TRANSFER,2.87,16
302,cycle,True,106182,3011,5582,TRANSFER,11.75,16
356,cycle,True,107241,2897,4604,TRANSFER,18.53,16
330,cycle,True,109761,9935,6089,TRANSFER,19.34,17
145,fan_in,True,112100,5775,6269,TRANSFER,3.25,17
330,cycle,True,113844,3069,8350,TRANSFER,19.34,17
134,fan_in,True,113865,9987,3733,TRANSFER,3.24,17
79,fan_in,True,118239,6285,9685,TRANSFER,3.13,18
351,cycle,True,119765,4897,1258,TRANSFER,14.52,18
326,cycle,True,121485,2008,2649,TRANSFER,17.59,19
326,cycle,True,121933,4888,2008,TRANSFER,17.59,19
322,cycle,True,122151,9736,2641,TRANSFER,19.29,19
134,fan_in,True,123355,3337,3733,TRANSFER,2.83,19
342,cycle,True,126276,7920,6377,TRANSFER,16.45,19
363,cycle,True,127575,182,6289,TRANSFER,18.98,20
387,cycle,True,128166,7696,9665,TRANSFER,19.62,20
330,cycle,True,128298,6089,5306,TRANSFER,19.34,20
66,fan_in,True,130346,9872,113,TRANSFER,2.94,20
79,fan_in,True,130348,5758,9685,TRANSFER,2.73,20
330,cycle,True,130773,5306,3069,TRANSFER,19.34,20
339,cycle,True,134309,3543,9432,TRANSFER,17.75,21
134,fan_in,True,134323,8051,3733,TRANSFER,3.0,21
258,cycle,True,135288,9797,9394,TRANSFER,11.72,21
387,cycle,True,136192,9351,7696,TRANSFER,19.62,21
387,cycle,True,137220,3143,8301,TRANSFER,19.62,21
339,cycle,True,137382,5540,4263,TRANSFER,17.75,21
351,cycle,True,140547,2643,9619,TRANSFER,14.52,21
66,fan_in,True,143027,5578,113,TRANSFER,2.94,22
387,cycle,True,145756,8301,9351,TRANSFER,19.62,22
134,fan_in,True,147664,2038,3733,TRANSFER,3.27,23
351,cycle,True,148289,1258,2643,TRANSFER,14.52,23
326,cycle,True,148340,6057,4888,TRANSFER,17.59,23
82,fan_in,True,149361,8656,8032,TRANSFER,4.58,23
339,cycle,True,151569,9107,3543,TRANSFER,17.75,23
258,cycle,True,152133,9310,9797,TRANSFER,11.72,23
258,cycle,True,153970,3150,6997,TRANSFER,11.72,23
75,fan_in,True,155360,4105,3746,TRANSFER,3.55,24
192,fan_in,True,155458,9985,4178,TRANSFER,2.62,24
322,cycle,True,155860,3356,7791,TRANSFER,19.29,24
241,cycle,True,156332,2846,7963,TRANSFER,10.14,24
322,cycle,True,156360,2641,4586,TRANSFER,19.29,24
66,fan_in,True,156732,9507,113,TRANSFER,2.94,24
241,cycle,True,156915,6538,9971,TRANSFER,10.14,24
342,cycle,True,157419,6377,2754,TRANSFER,16.45,24
342,cycle,True,158609,2754,9912,TRANSFER,16.45,24
350,cycle,True,158769,9824,7697,TRANSFER,15.42,24
339,cycle,True,159736,4263,9107,TRANSFER,17.75,24
82,fan_in,True,162807,6811,8032,TRANSFER,4.54,25
284,cycle,True,163933,9629,5374,TRANSFER,17.01,25
268,cycle,True,164411,3788,3963,TRANSFER,16.64,25
326,cycle,True,165707,2649,9646,TRANSFER,17.59,25
192,fan_in,True,167971,6803,4178,TRANSFER,2.95,26
66,fan_in,True,168428,4322,113,TRANSFER,2.94,26
350,cycle,True,170864,2020,3189,TRANSFER,15.42,26
75,fan_in,True,170865,6170,3746,TRANSFER,3.55,26
369,cycle,True,172119,9617,4011,TRANSFER,14.39,26
342,cycle,True,174006,9912,5298,TRANSFER,16.45,27
339,cycle,True,174933,9432,5540,TRANSFER,17.75,27
82,fan_in,True,175562,6132,8032,TRANSFER,4.48,27
369,cycle,True,177137,4011,4688,TRANSFER,14.39,27
369,cycle,True,177368,4688,3055,TRANSFER,14.39,27
150,fan_in,True,178737,9800,4309,TRANSFER,3.57,27
258,cycle,True,179668,9394,3150,TRANSFER,11.72,27
239,cycle,True,181245,1694,2206,TRANSFER,11.71,28
268,cycle,True,182935,8768,3788,TRANSFER,16.64,28
380,cycle,True,183392,4721,9871,TRANSFER,15.93,28
326,cycle,True,183988,9646,6057,TRANSFER,17.59,28
257,cycle,True,184132,9940,7181,TRANSFER,16.44,28
123,fan_in,True,184147,138,9197,TRANSFER,4.59,28
342,cycle,True,184335,5298,7920,TRANSFER,16.45,28
192,fan_in,True,184497,7396,4178,TRANSFER,2.77,28
350,cycle,True,184572,7697,2020,TRANSFER,15.42,28
75,fan_in,True,185923,9755,3746,TRANSFER,3.55,28
150,fan_in,True,186596,7131,4309,TRANSFER,3.54,29
82,fan_in,True,187404,6256,8032,TRANSFER,4.47,29
25,fan_in,True,188330,7849,5430,TRANSFER,4.47,29
284,cycle,True,188414,5374,4079,TRANSFER,17.01,29
252,cycle,True,189432,8409,2410,TRANSFER,19.92,29
59,fan_in,True,190403,6528,554,TRANSFER,4.59,29
252,cycle,True,190488,3174,7064,TRANSFER,19.92,29
252,cycle,True,191484,2410,2187,TRANSFER,19.92,29
258,cycle,True,192220,6997,9310,TRANSFER,11.72,29
350,cycle,True,192438,9982,9824,TRANSFER,15.42,29
241,cycle,True,193867,7963,6538,TRANSFER,10.14,30
268,cycle,True,194413,9486,8768,TRANSFER,16.64,30
268,cycle,True,194656,9603,9486,TRANSFER,16.64,30
241,cycle,True,195250,9971,6117,TRANSFER,10.14,30
192,fan_in,True,195279,7462,4178,TRANSFER,3.09,30
239,cycle,True,195490,3985,8892,TRANSFER,11.71,30
239,cycle,True,195901,2206,9384,TRANSFER,11.71,30
123,fan_in,True,197286,3355,9197,TRANSFER,4.69,30
257,cycle,True,198157,9943,3050,TRANSFER,16.44,30
75,fan_in,True,198456,2014,3746,TRANSFER,3.55,30
284,cycle,True,199251,9073,1284,TRANSFER,17.01,30
190,fan_in,True,199474,6642,6979,TRANSFER,3.25,30
282,cycle,True,200290,9173,7926,TRANSFER,10.53,31
313,cycle,True,200877,9499,7284,TRANSFER,12.6,31
380,cycle,True,200907,6299,7381,TRANSFER,15.93,31
150,fan_in,True,201036,869,4309,TRANSFER,4.1,31
151,fan_in,True,201581,368,4037,TRANSFER,3.46,31
350,cycle,True,204195,3189,9982,TRANSFER,15.42,31
25,fan_in,True,204196,9971,5430,TRANSFER,4.39,31
59,fan_in,True,206087,5267,554,TRANSFER,4.59,31
239,cycle,True,206640,8892,1694,TRANSFER,11.71,32
282,cycle,True,207713,7039,6695,TRANSFER,10.53,32
257,cycle,True,207823,3050,747,TRANSFER,16.44,32
241,cycle,True,208094,6117,2846,TRANSFER,10.14,32
87,fan_in,True,208265,9560,9570,TRANSFER,3.47,32
252,cycle,True,208963,7064,8409,TRANSFER,19.92,32
123,fan_in,True,209776,4532,9197,TRANSFER,4.58,32
313,cycle,True,209852,7284,5989,TRANSFER,12.6,32
365,cycle,True,210168,1564,2971,TRANSFER,15.82,32
284,cycle,True,210433,4079,9073,TRANSFER,17.01,32
190,fan_in,True,210708,5210,6979,TRANSFER,3.25,32
365,cycle,True,211406,476,3464,TRANSFER,15.82,32
329,cycle,True,213236,2333,9422,TRANSFER,13.56,32
150,fan_in,True,213824,2367,4309,TRANSFER,4.22,33
329,cycle,True,214914,9327,2284,TRANSFER,13.56,33
59,fan_in,True,216165,4462,554,TRANSFER,4.59,33
151,fan_in,True,217299,9844,4037,TRANSFER,3.07,33
365,cycle,True,217504,2971,7916,TRANSFER,15.82,33
369,cycle,True,217744,3055,7648,TRANSFER,14.39,33
214,cycle,True,218618,4277,3791,TRANSFER,12.48,33
257,cycle,True,219446,747,9940,TRANSFER,16.44,33
25,fan_in,True,219861,766,5430,TRANSFER,4.45,33
268,cycle,True,220209,3963,9603,TRANSFER,16.64,34
123,fan_in,True,220912,7477,9197,TRANSFER,4.54,34
282,cycle,True,221300,7926,7039,TRANSFER,10.53,34
252,cycle,True,221752,2187,3174,TRANSFER,19.92,34
73,fan_in,True,222627,4948,9660,TRANSFER,3.78,34
282,cycle,True,223069,1812,9173,TRANSFER,10.53,34
284,cycle,True,223153,1284,9629,TRANSFER,17.01,34
214,cycle,True,223546,3791,9962,TRANSFER,12.48,34
190,fan_in,True,224282,9685,6979,TRANSFER,3.28,34
365,cycle,True,224537,3464,1564,TRANSFER,15.82,34
87,fan_in,True,224647,4075,9570,TRANSFER,3.34,34
59,fan_in,True,226263,9783,554,TRANSFER,4.59,35
313,cycle,True,229215,9454,1505,TRANSFER,12.6,35
151,fan_in,True,229363,5315,4037,TRANSFER,3.0,35
1,fan_in,True,229913,8387,3142,TRANSFER,4.02,35
230,cycle,True,231316,4560,5305,TRANSFER,14.31,35
25,fan_in,True,232030,8709,5430,TRANSFER,4.44,35
380,cycle,True,232996,9871,6299,TRANSFER,15.93,36
230,cycle,True,233007,5305,9402,TRANSFER,14.31,36
214,cycle,True,233993,9962,2243,TRANSFER,12.48,36
190,fan_in,True,234697,1061,6979,TRANSFER,3.28,36
210,cycle,True,235081,8050,9469,TRANSFER,16.88,36
369,cycle,True,235112,7648,9617,TRANSFER,14.39,36
313,cycle,True,235589,1505,9499,TRANSFER,12.6,36
386,cycle,True,236390,8944,6105,TRANSFER,13.47,36
239,cycle,True,237091,9384,3985,TRANSFER,11.71,36
73,fan_in,True,237222,8570,9660,TRANSFER,3.78,36
329,cycle,True,237833,2284,5677,TRANSFER,13.56,36
87,fan_in,True,238856,1767,9570,TRANSFER,3.63,36
54,fan_in,True,239545,9201,9422,TRANSFER,3.79,36
380,cycle,True,239843,6487,4721,TRANSFER,15.93,37
151,fan_in,True,242989,1668,4037,TRANSFER,3.3,37
365,cycle,True,243851,7916,476,TRANSFER,15.82,37
230,cycle,True,244454,9966,7081,TRANSFER,14.31,37
257,cycle,True,244787,7181,9943,TRANSFER,16.44,37
299,cycle,True,244929,3894,5377,TRANSFER,11.93,37
1,fan_in,True,245244,5116,3142,TRANSFER,3.95,37
380,cycle,True,245441,7381,6487,TRANSFER,15.93,37
102,fan_in,True,245487,2985,9417,TRANSFER,3.41,37
210,cycle,True,245752,8949,4817,TRANSFER,16.88,37
313,cycle,True,247367,5989,9454,TRANSFER,12.6,38
160,fan_in,True,247402,9809,3198,TRANSFER,4.78,38
73,fan_in,True,248590,1421,9660,TRANSFER,3.78,38
87,fan_in,True,250061,9839,9570,TRANSFER,3.34,38
386,cycle,True,250389,6105,2522,TRANSFER,13.47,38
329,cycle,True,251103,5677,2333,TRANSFER,13.56,38
114,fan_in,True,251831,9739,6628,TRANSFER,4.01,38
230,cycle,True,251912,9402,9966,TRANSFER,14.31,38
54,fan_in,True,252169,3063,9422,TRANSFER,4.02,38
20,fan_in,True,253201,3503,9695,TRANSFER,3.9,39
43,fan_in,True,253702,6560,5263,TRANSFER,4.82,39
102,fan_in,True,255059,9871,9417,TRANSFER,3.65,39
295,cycle,True,255626,9785,8458,TRANSFER,10.13,39
329,cycle,True,256154,9422,9327,TRANSFER,13.56,39
1,fan_in,True,256253,8965,3142,TRANSFER,4.05,39
386,cycle,True,256373,8697,8944,TRANSFER,13.47,39
386,cycle,True,256739,2522,9950,TRANSFER,13.47,39
24,fan_in,True,259001,9753,9973,TRANSFER,3.68,39
54,fan_in,True,260538,7925,9422,TRANSFER,4.57,40
185,fan_in,True,260828,5641,8483,TRANSFER,3.5,40
160,fan_in,True,261192,9962,3198,TRANSFER,4.78,40
214,cycle,True,261727,8804,4277,TRANSFER,12.48,40
114,fan_in,True,262226,9089,6628,TRANSFER,4.01,40
282,cycle,True,262615,6695,1812,TRANSFER,10.53,40
73,fan_in,True,263512,5158,9660,TRANSFER,3.78,40
249,cycle,True,263513,7590,6575,TRANSFER,16.21,40
296,cycle,True,265421,8623,8700,TRANSFER,16.51,40
299,cycle,True,266961,5377,9987,TRANSFER,11.93,41
102,fan_in,True,267177,3451,9417,TRANSFER,3.78,41
43,fan_in,True,267314,9027,5263,TRANSFER,4.82,41
249,cycle,True,267367,796,9981,TRANSFER,16.21,41
24,fan_in,True,268043,1988,9973,TRANSFER,3.68,41
37,fan_in,True,269093,2536,2540,TRANSFER,3.35,41
20,fan_in,True,269300,5692,9695,TRANSFER,4.0,41
249,cycle,True,269868,6575,9293,TRANSFER,16.21,41
218,cycle,True,269873,9108,7972,TRANSFER,14.13,41
235,cycle,True,270118,9297,2283,TRANSFER,18.29,41
295,cycle,True,270284,1903,9844,TRANSFER,10.13,41
230,cycle,True,272357,7081,4560,TRANSFER,14.31,41
1,fan_in,True,272981,935,3142,TRANSFER,3.9,41
54,fan_in,True,273292,5919,9422,TRANSFER,4.42,42
216,cycle,True,273585,258,9928,TRANSFER,16.7,42
185,fan_in,True,274169,7554,8483,TRANSFER,3.26,42
235,cycle,True,274265,8060,9990,TRANSFER,18.29,42
114,fan_in,True,275147,8411,6628,TRANSFER,4.01,42
160,fan_in,True,275477,9891,3198,TRANSFER,4.78,42
218,cycle,True,276347,9876,7513,TRANSFER,14.13,42
214,cycle,True,276524,2243,8804,TRANSFER,12.48,42
291,cycle,True,278313,7493,1614,TRANSFER,14.0,42
37,fan_in,True,280389,3756,2540,TRANSFER,3.51,43
24,fan_in,True,281217,6462,9973,TRANSFER,4.2,43
336,cycle,True,281412,1557,9639,TRANSFER,16.29,43
43,fan_in,True,282265,9469,5263,TRANSFER,4.82,43
210,cycle,True,282345,4817,8050,TRANSFER,16.88,43
196,fan_in,True,283421,1097,9829,TRANSFER,4.53,43
102,fan_in,True,284476,8711,9417,TRANSFER,3.38,43
245,cycle,True,284695,3554,1820,TRANSFER,10.69,43
20,fan_in,True,284998,3205,9695,TRANSFER,3.71,43
295,cycle,True,285190,9844,3393,TRANSFER,10.13,43
336,cycle,True,286100,8298,1423,TRANSFER,16.29,43
97,fan_in,True,286634,4336,9006,TRANSFER,3.84,43
386,cycle,True,286635,9950,8697,TRANSFER,13.47,43
237,cycle,True,287065,2083,4070,TRANSFER,12.81,44
160,fan_in,True,287655,1150,3198,TRANSFER,4.78,44
185,fan_in,True,288299,1708,8483,TRANSFER,4.3,44
389,cycle,True,289872,9926,951,TRANSFER,14.22,44
114,fan_in,True,290309,4549,6628,TRANSFER,4.01,44
248,cycle,True,290431,9423,9951,TRANSFER,12.25,44
291,cycle,True,290721,5100,7493,TRANSFER,14.0,44
91,fan_in,True,291845,9702,3711,TRANSFER,3.5,44
97,fan_in,True,293460,2491,9006,TRANSFER,3.75,45
20,fan_in,True,294793,9966,9695,TRANSFER,3.74,45
295,cycle,True,295074,8458,1903,TRANSFER,10.13,45
299,cycle,True,295102,7548,9677,TRANSFER,11.93,45
42,fan_in,True,295164,6874,5956,TRANSFER,4.89,45
318,cycle,True,295715,9945,6931,TRANSFER,16.09,45
216,cycle,True,295749,9928,9065,TRANSFER,16.7,45
37,fan_in,True,296025,1576,2540,TRANSFER,3.52,45
296,cycle,True,296233,6340,2454,TRANSFER,16.51,45
245,cycle,True,296594,5133,7333,TRANSFER,10.69,45
196,fan_in,True,297659,5751,9829,TRANSFER,4.54,45
24,fan_in,True,297792,6327,9973,TRANSFER,3.89,45
273,cycle,True,297821,9377,7859,TRANSFER,11.52,45
210,cycle,True,298073,4965,8949,TRANSFER,16.88,45
43,fan_in,True,298384,422,5263,TRANSFER,4.82,45
304,cycle,True,299150,7171,8524,TRANSFER,15.02,45
237,cycle,True,299705,4399,4305,TRANSFER,12.81,45
273,cycle,True,301217,5071,9377,TRANSFER,11.52,46
318,cycle,True,301663,6931,1413,TRANSFER,16.09,46
299,cycle,True,301783,9677,3894,TRANSFER,11.93,46
249,cycle,True,302316,9981,7590,TRANSFER,16.21,46
91,fan_in,True,303465,2159,3711,TRANSFER,3.5,46
210,cycle,True,303856,9469,4965,TRANSFER,16.88,46
185,fan_in,True,304046,9721,8483,TRANSFER,3.88,46
237,cycle,True,304654,4305,9994,TRANSFER,12.81,46
299,cycle,True,305028,9987,7548,TRANSFER,11.93,46
389,cycle,True,305122,9620,8774,TRANSFER,14.22,46
249,cycle,True,305324,9293,796,TRANSFER,16.21,46
295,cycle,True,305551,3393,9785,TRANSFER,10.13,46
296,cycle,True,305663,2454,8623,TRANSFER,16.51,46
235,cycle,True,305825,2283,8060,TRANSFER,18.29,46
248,cycle,True,306084,4342,9423,TRANSFER,12.25,46
237,cycle,True,306153,9994,2083,TRANSFER,12.81,46
304,cycle,True,306371,3473,7171,TRANSFER,15.02,47
37,fan_in,True,306452,5513,2540,TRANSFER,4.01,47
196,fan_in,True,306635,5531,9829,TRANSFER,4.53,47
97,fan_in,True,306638,9558,9006,TRANSFER,3.29,47
111,fan_in,True,307655,8600,7517,TRANSFER,2.68,47
355,cycle,True,307750,6354,9902,TRANSFER,19.14,47
296,cycle,True,309131,9763,6340,TRANSFER,16.51,47
235,cycle,True,309913,9438,9297,TRANSFER,18.29,47
248,cycle,True,310061,9951,9412,TRANSFER,12.25,47
273,cycle,True,311186,3364,8262,TRANSFER,11.52,47
318,cycle,True,311362,9176,9945,TRANSFER,16.09,47
237,cycle,True,311512,4070,4399,TRANSFER,12.81,47
355,cycle,True,312408,8937,8618,TRANSFER,19.14,47
216,cycle,True,312777,9065,8394,TRANSFER,16.7,47
42,fan_in,True,313148,9764,5956,TRANSFER,3.4,47
218,cycle,True,313703,3338,9108,TRANSFER,14.13,48
336,cycle,True,313740,4613,1557,TRANSFER,16.29,48
218,cycle,True,314291,7513,3338,TRANSFER,14.13,48
273,cycle,True,314296,8262,5071,TRANSFER,11.52,48
291,cycle,True,314680,5681,8403,TRANSFER,14.0,48
304,cycle,True,315431,9992,3473,TRANSFER,15.02,48
291,cycle,True,315479,8403,5100,TRANSFER,14.0,48
132,fan_in,True,316072,8761,9298,TRANSFER,4.06,48
398,cycle,True,316109,8199,4144,TRANSFER,12.15,48
104,fan_in,True,316534,8408,9793,TRANSFER,3.61,48
91,fan_in,True,318762,7398,3711,TRANSFER,3.5,48
336,cycle,True,319513,1423,4613,TRANSFER,16.29,48
42,fan_in,True,319926,9604,5956,TRANSFER,3.99,49
259,cycle,True,320222,9544,4169,TRANSFER,13.22,49
318,cycle,True,320538,9249,9176,TRANSFER,16.09,49
304,cycle,True,320701,8655,9992,TRANSFER,15.02,49
196,fan_in,True,321000,1153,9829,TRANSFER,4.54,49
218,cycle,True,321156,7972,9876,TRANSFER,14.13,49
355,cycle,True,321383,8618,6354,TRANSFER,19.14,49
273,cycle,True,322530,7859,3364,TRANSFER,11.52,49
318,cycle,True,322917,1413,9249,TRANSFER,16.09,49
111,fan_in,True,323649,9106,7517,TRANSFER,2.66,49
379,cycle,True,324057,368,1001,TRANSFER,19.6,49
389,cycle,True,325914,5946,9620,TRANSFER,14.22,49
97,fan_in,True,326314,6375,9006,TRANSFER,4.44,49
398,cycle,True,326384,9835,5877,TRANSFER,12.15,50
291,cycle,True,326686,1614,5681,TRANSFER,14.0,50
296,cycle,True,327264,8700,9763,TRANSFER,16.51,50
132,fan_in,True,327270,4491,9298,TRANSFER,4.15,50
248,cycle,True,328380,9412,5733,TRANSFER,12.25,50
